class_id,course_code,professor,day,time
41557,ELC 383,"Hernandez,Orlando  ",Mon ,3:25 PM
41555,ELC 463,"Hernandez,Orlando  ",Mon ,5:00 PM
42791,ELC 470,"Wondmagegn,Wudyalew  ",Tues Fri,9:30 AM
42792,ELC 470,"Wondmagegn,Wudyalew  ",Tues Fri,9:00 AM
42759,ELC 480,"Pearlstein,Larry  ",Tues Fri,9:30 AM
42762,ELC 480,"Pearlstein,Larry  ",Tues Fri,9:00 AM
42729,ELC 495,"Katz,Allen  ",Wed ,8:00 AM
42730,ELC 496,"Katz,Allen  ",Wed ,8:00 AM
41571,ENG 142,"Wei,Xuefeng  ",Mon Thurs ,9:30 AM
41573,ENG 142,"Kim,Seung-Yun  ",Tues Fri,8:00 AM
41585,ENG 142,"Kim,Seung-Yun  ",Tues Fri,11:00 AM
41591,ENG 142,"Stella,Martha  ",Mon Thurs ,12:30 PM
41572,ENG 142,"Wei,Xuefeng  ",Thurs ,2:00 PM
41583,ENG 142,"Bechtel,Andrew  ",Thurs ,3:30 PM
41587,ENG 142,"Kim,Seung-Yun  ",Fri,2:00 PM
41586,ENG 142,"Cao,Hongxiang  ",Mon ,3:30 PM
41574,ENG 152,"Murthy,Sanjeeva  ",Mon Wed ,7:00 PM
42579,ENG 152,"Zamani Khalajabadi,Shahrouz  ",Mon Thurs ,8:00 AM
42580,ENG 152,"Zamani Khalajabadi,Shahrouz  ",Mon Thurs ,9:30 AM
41605,ENG 212,"Duncan,Hibbert  ",Mon Thurs ,8:00 AM
42758,ENG 214,"Wondmagegn,Wudyalew  ",Fri,2:00 PM
41588,ENG 222,"Krstic,Vedrana  ",Tues Fri,8:00 AM
41575,ENG 262,"Rached,Safwan  ",Mon Thurs ,9:30 AM
41584,ENG 262,"Rached,Safwan  ",Mon Thurs ,11:00 AM
41595,ENG 262,"Mahgoub,Mohamed  ",Tues Fri,11:00 AM
41576,ENG 272,"Shih,Ching-Tai  ",Mon Thurs ,12:30 PM
41577,ENG 312,"Pearlstein,Larry  ",Tues Fri,11:00 AM
41603,ENG 312,"Saeidpour Parizy,Ehsan  ",Tues Fri,8:00 AM
41590,ENG 312,"Pearlstein,Larry  ",Tues Fri,12:30 PM
41604,ENG 312,"Saeidpour Parizy,Ehsan  ",Tues Fri,7:30 AM
41578,ENG 342,"Delahanty,Christine  ",Tues Thurs ,5:30 PM
41592,ENG 348,"Hernandez,Orlando  ",Mon ,8:00 AM
41601,ENG 348,"Hernandez,Orlando  ",Thurs ,8:00 AM
41593,ENG 348,"Hernandez,Orlando  ",Mon ,7:30 AM
41602,ENG 348,"Hernandez,Orlando  ",Thurs ,7:30 AM
41582,ENG 352,"Adegbege,Ambrose  ",Mon Thurs ,9:30 AM
41596,ENG 352,"Duncan,Hibbert  ",Mon Thurs ,12:30 PM
41579,ENG 354,"Saeidpour Parizy,Ehsan  ",Mon ,2:00 PM
41600,ENG 354,"Kelly,Frederick  ",Thurs ,2:00 PM
41580,ENG 372,"Shih,Ching-Tai  ",Mon Thurs ,8:00 AM
41589,ENG 372,"Shih,Ching-Tai  ",Mon Thurs ,9:30 AM
41581,ENG 452,"Cano,Diana  ",Mon ,12:30 PM
43200,ENG  96,"Stella,Martha  ",Wed ,11:00 AM
41599,ENG  98,"Deese,Anthony  ",Fri,12:30 PM
41598,ENG  98,"Paliwal,Manish  ",Wed ,5:30 PM
41606,ETE 111,"Better,Christopher  ",Thurs ,5:30 PM
41613,ETE 111,"Better,Christopher  ",Thurs ,8:30 PM
41607,ETE 131,"O'Brien,Steve  ",Mon Thurs ,9:30 AM
41608,ETE 131,"O'Brien,Steve  ",Wed ,4:00 PM
41621,ETE 261,"Roses,Sheryl  ",Mon ,5:30 PM
41622,ETE 261,"Roses,Sheryl  ",Mon ,8:30 PM
41612,ETE 271,"Cathell,Matthew  ",Mon Thurs ,11:00 AM
41616,ETE 271,"Cathell,Matthew  ",Wed ,10:00 AM
41623,ETE 275,"Mulligan,James  ",Wed ,5:30 PM
41624,ETE 275,"Mulligan,James  ",Wed ,8:30 PM
41609,ETE 281,"Cappiello,Michael  ",Tues ,5:30 PM
41617,ETE 281,"Cappiello,Michael  ",Tues ,8:30 PM
41619,ETE 341,"Cathell,Matthew  ",Mon Thurs ,2:00 PM
